feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,experiment_type,threshold,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes
v1_only,dummy_most_frequent,validation,0.5565068493150684,0.5,0.7150715071507151,0.5565068493150684,1.0,previous_reference,0.5,,1.0,,,,
v1_only,dummy_most_frequent,test,0.5534591194968553,0.5,0.7125506072874493,0.5534591194968553,1.0,previous_reference,0.5,,1.0,,,,
v1_only,logistic_regression,validation,0.5353881278538812,0.5208830808830809,0.6086538461538461,0.5728506787330316,0.6492307692307693,previous_reference,0.5,,0.6492307692307693,,,,
v1_only,logistic_regression,test,0.5437392795883362,0.5335161797229659,0.6041666666666666,0.5811068702290076,0.6291322314049587,previous_reference,0.5,,0.6291322314049587,,,,
v1_only,random_forest_reference,validation,0.5622146118721462,0.5564854964854965,0.6068682726806766,0.6065573770491803,0.6071794871794872,previous_reference,0.5,,0.6071794871794872,,,,
v1_only,random_forest_reference,test,0.5368782161234992,0.5316464905133279,0.5811789038262668,0.5817805383022774,0.5805785123966942,previous_reference,0.5,,0.5805785123966942,,,,
v1_only,catboost_classifier,validation,0.5707762557077626,0.5376497376497377,0.6829679595278246,0.5798138869005011,0.8307692307692308,previous_reference,0.5,,0.8307692307692308,,,,
v1_only,catboost_classifier,test,0.5317324185248714,0.5011494587358863,0.6504481434058899,0.5541818181818182,0.7871900826446281,previous_reference,0.5,,0.7871900826446281,,,,
,logistic_c_0_05__no_1_4__default_threshold,train,0.555333998005982,0.5720220855526228,0.4653702717101758,0.6614918591442636,0.35894801725909187,selected_logistic_tuned,0.5,0.7850961538461538,0.35894801725909187,3266.0,894.0,3120.0,1747.0
,logistic_c_0_05__no_1_4__default_threshold,validation,0.5159817351598174,0.5375546975546975,0.4435695538057743,0.6156648451730419,0.3466666666666667,selected_logistic_tuned,0.5,0.7284427284427284,0.3466666666666667,566.0,211.0,637.0,338.0
,logistic_c_0_05__no_1_4__default_threshold,test,0.5111492281303602,0.5323958212082411,0.43037974683544306,0.6060037523452158,0.33367768595041325,selected_logistic_tuned,0.5,0.7311139564660691,0.33367768595041325,571.0,210.0,645.0,323.0
,logistic_c_0_05__balanced__threshold_tuned,train,0.5526753074111,0.5712500839642174,0.44609053497942386,0.6710689228229467,0.3340867063899733,selected_threshold_tuned,0.55,0.8084134615384615,0.3340867063899733,3363.0,797.0,3241.0,1626.0
,logistic_c_0_05__balanced__threshold_tuned,validation,0.5171232876712328,0.5422393822393823,0.42448979591836733,0.6303030303030303,0.32,selected_threshold_tuned,0.55,0.7644787644787645,0.32,594.0,183.0,663.0,312.0
,logistic_c_0_05__balanced__threshold_tuned,test,0.5117209834190967,0.5357568967524153,0.41346153846153844,0.6168032786885246,0.3109504132231405,selected_threshold_tuned,0.55,0.7605633802816901,0.3109504132231405,594.0,187.0,667.0,301.0
