split,direct_over25,final_over25,pred_score,final_score,count
test,0,1,2:1,2:1,58
test,0,1,1:2,1:2,36
test,0,1,1:1,2:1,23
test,1,0,1:1,0:0,13
test,0,1,1:1,1:2,9
test,1,0,2:1,0:0,8
test,0,1,2:2,2:1,1
test,1,0,1:2,0:0,1
train,0,1,2:1,2:1,382
train,0,1,1:2,1:2,168
train,0,1,1:1,2:1,128
train,0,1,1:1,1:2,90
train,1,0,1:1,0:0,49
train,1,0,2:1,0:0,16
train,1,0,1:2,0:0,15
train,0,1,2:1,1:2,7
train,0,1,2:2,2:1,6
train,0,1,0:2,1:2,4
train,0,1,2:0,2:1,2
train,0,1,0:1,1:2,1
train,0,1,0:3,1:3,1
train,0,1,1:2,2:1,1
train,0,1,2:2,1:2,1
train,0,1,3:1,3:1,1
validation,0,1,2:1,2:1,77
validation,0,1,1:2,1:2,48
validation,0,1,1:1,2:1,24
validation,1,0,1:1,0:0,21
validation,0,1,1:1,1:2,19
validation,1,0,2:1,0:0,7
validation,0,1,2:0,2:1,2
validation,1,0,1:2,0:0,2
validation,0,1,0:2,1:2,1
validation,0,1,1:2,2:1,1
validation,0,1,2:1,1:2,1
