feature_set,model,split,exact_score_accuracy,home_goals_mae,away_goals_mae,total_goals_mae,outcome_accuracy_from_score,btts_accuracy_from_score,over25_accuracy_from_score,selection
v1_only,dummy_mean,validation,0.07591324200913242,1.0941780821917808,0.8795662100456622,1.3470319634703196,0.4309360730593607,0.5565068493150684,0.5485159817351598,reference
v1_only,dummy_mean,test,0.08404802744425385,1.1040594625500286,0.866781017724414,1.3156089193825042,0.4202401372212693,0.5534591194968553,0.5345911949685535,reference
v1_only,ridge_regression,validation,0.11472602739726027,0.9286529680365296,0.8304794520547946,1.3116438356164384,0.5,0.5565068493150684,0.5884703196347032,reference
v1_only,ridge_regression,test,0.12064036592338478,0.8953687821612349,0.8376214979988564,1.2858776443682105,0.49914236706689535,0.5551743853630646,0.5671812464265295,reference
v1_only,random_forest_reference,validation,0.10559360730593607,0.9463470319634704,0.8441780821917808,1.3304794520547945,0.4982876712328767,0.5570776255707762,0.5730593607305936,reference
v1_only,random_forest_reference,test,0.1126357918810749,0.917095483133219,0.8330474556889651,1.2927387078330475,0.4997141223556318,0.5528873642081189,0.5763293310463122,reference
v1_only,catboost_regressor,validation,0.11187214611872145,0.922945205479452,0.821917808219178,1.3144977168949772,0.5011415525114156,0.5565068493150684,0.5742009132420092,reference
v1_only,catboost_regressor,test,0.11949685534591195,0.8776443682104059,0.8336192109777015,1.2698684962835907,0.5100057175528874,0.5534591194968553,0.5780445969125214,reference
v1_score_related,dummy_mean,validation,0.07591324200913242,1.0941780821917808,0.8795662100456622,1.3470319634703196,0.4309360730593607,0.5565068493150684,0.5485159817351598,reference
v1_score_related,dummy_mean,test,0.08404802744425385,1.1040594625500286,0.866781017724414,1.3156089193825042,0.4202401372212693,0.5534591194968553,0.5345911949685535,reference
v1_score_related,ridge_regression,validation,0.11643835616438356,0.9257990867579908,0.829337899543379,1.307648401826484,0.5028538812785388,0.5587899543378996,0.589041095890411,selected
v1_score_related,ridge_regression,test,0.12121212121212122,0.8947970268724986,0.8399085191538022,1.2898799313893654,0.5020011435105775,0.5528873642081189,0.5648942252715837,selected
v1_score_related,random_forest_reference,validation,0.10844748858447488,0.9372146118721462,0.8407534246575342,1.3213470319634704,0.5028538812785388,0.5570776255707762,0.5856164383561644,reference
v1_score_related,random_forest_reference,test,0.11377930245854774,0.9130931961120641,0.8336192109777015,1.297312750142939,0.4974271012006861,0.5528873642081189,0.5671812464265295,reference
v1_score_related,catboost_regressor,validation,0.11244292237442922,0.9155251141552512,0.8207762557077626,1.3105022831050228,0.5102739726027398,0.5565068493150684,0.5781963470319634,reference
v1_score_related,catboost_regressor,test,0.12407089765580331,0.8873642081189251,0.8238993710691824,1.2710120068610635,0.5242995997712979,0.5534591194968553,0.5791881074899943,reference
