feature_set,model,split,exact_score_accuracy,home_goals_mae,away_goals_mae,total_goals_mae,outcome_accuracy_from_score,btts_accuracy_from_score,over25_accuracy_from_score
v1_only,dummy_mean,train,0.08939847125290794,1.1023595879029577,0.8503378752630996,1.3190428713858424,0.4343635759388501,0.5391602968871164,0.5274177467597209
v1_only,dummy_mean,validation,0.07591324200913242,1.0941780821917808,0.8795662100456622,1.3470319634703196,0.4309360730593607,0.5565068493150684,0.5485159817351598
v1_only,dummy_mean,test,0.08404802744425385,1.1040594625500286,0.866781017724414,1.3156089193825042,0.4202401372212693,0.5534591194968553,0.5345911949685535
v1_only,ridge_regression,train,0.12927883017613825,0.8858978619696466,0.8022598870056498,1.253904951811233,0.5090284701451202,0.5472471474465492,0.5888999667663676
v1_only,ridge_regression,validation,0.11472602739726027,0.9286529680365296,0.8304794520547946,1.3116438356164384,0.5,0.5565068493150684,0.5884703196347032
v1_only,ridge_regression,test,0.12064036592338478,0.8953687821612349,0.8376214979988564,1.2858776443682105,0.49914236706689535,0.5551743853630646,0.5671812464265295
v1_only,random_forest_reference,train,0.2926775229865958,0.5205494627229423,0.5028248587570622,0.8102359587902958,0.703002104796721,0.636756397474244,0.8264096599091614
v1_only,random_forest_reference,validation,0.10559360730593607,0.9463470319634704,0.8441780821917808,1.3304794520547945,0.4982876712328767,0.5570776255707762,0.5730593607305936
v1_only,random_forest_reference,test,0.1126357918810749,0.917095483133219,0.8330474556889651,1.2927387078330475,0.4997141223556318,0.5528873642081189,0.5763293310463122
v1_only,catboost_regressor,train,0.12518001550902846,0.8882242162401683,0.8149994461061261,1.2636534839924671,0.5039326465049296,0.5391602968871164,0.5742771684945165
v1_only,catboost_regressor,validation,0.11187214611872145,0.922945205479452,0.821917808219178,1.3144977168949772,0.5011415525114156,0.5565068493150684,0.5742009132420092
v1_only,catboost_regressor,test,0.11949685534591195,0.8776443682104059,0.8336192109777015,1.2698684962835907,0.5100057175528874,0.5534591194968553,0.5780445969125214
v1_score_related,dummy_mean,train,0.08939847125290794,1.1023595879029577,0.8503378752630996,1.3190428713858424,0.4343635759388501,0.5391602968871164,0.5274177467597209
v1_score_related,dummy_mean,validation,0.07591324200913242,1.0941780821917808,0.8795662100456622,1.3470319634703196,0.4309360730593607,0.5565068493150684,0.5485159817351598
v1_score_related,dummy_mean,test,0.08404802744425385,1.1040594625500286,0.866781017724414,1.3156089193825042,0.4202401372212693,0.5534591194968553,0.5345911949685535
v1_score_related,ridge_regression,train,0.12905727262656475,0.8865625346183671,0.8028137808795834,1.2540157305860198,0.5076991248476792,0.5468040323474023,0.588678409216794
v1_score_related,ridge_regression,validation,0.11643835616438356,0.9257990867579908,0.829337899543379,1.307648401826484,0.5028538812785388,0.5587899543378996,0.589041095890411
v1_score_related,ridge_regression,test,0.12121212121212122,0.8947970268724986,0.8399085191538022,1.2898799313893654,0.5020011435105775,0.5528873642081189,0.5648942252715837
v1_score_related,random_forest_reference,train,0.2858092389498172,0.5316273402016174,0.5069236734241719,0.8181012518001551,0.6935859089398472,0.6373102913481777,0.8222000664672648
v1_score_related,random_forest_reference,validation,0.10844748858447488,0.9372146118721462,0.8407534246575342,1.3213470319634704,0.5028538812785388,0.5570776255707762,0.5856164383561644
v1_score_related,random_forest_reference,test,0.11377930245854774,0.9130931961120641,0.8336192109777015,1.297312750142939,0.4974271012006861,0.5528873642081189,0.5671812464265295
v1_score_related,catboost_regressor,train,0.12473690040988146,0.8899966766367564,0.813226985709538,1.25877921790185,0.5031571950814224,0.5391602968871164,0.578486761936413
v1_score_related,catboost_regressor,validation,0.11244292237442922,0.9155251141552512,0.8207762557077626,1.3105022831050228,0.5102739726027398,0.5565068493150684,0.5781963470319634
v1_score_related,catboost_regressor,test,0.12407089765580331,0.8873642081189251,0.8238993710691824,1.2710120068610635,0.5242995997712979,0.5534591194968553,0.5791881074899943
