column,missing_count,missing_percent
MatchTime,131485,57.03
C_LTA,117956,51.16
C_VHD,117956,51.16
C_VAD,117956,51.16
C_LTH,117956,51.16
C_HTB,117956,51.16
C_PHB,117956,51.16
HomeTarget,116628,50.59
AwayTarget,116625,50.58
HomeFouls,116584,50.57
AwayFouls,116584,50.57
HomeCorners,116194,50.4
AwayCorners,116194,50.4
HomeShots,115822,50.24
AwayShots,115819,50.23
AwayRed,111260,48.26
HomeRed,111258,48.26
AwayYellow,111258,48.26
HomeYellow,111259,48.26
AwayElo,89030,38.62
HomeElo,88961,38.59
Under25,82161,35.64
Over25,82160,35.64
MaxUnder25,82161,35.64
MaxOver25,82160,35.64
HandiAway,74107,32.14
HandiHome,74083,32.13
HandiSize,73825,32.02
HTHome,54580,23.67
HTResult,54580,23.67
HTAway,54580,23.67
MaxAway,27636,11.99
MaxHome,27636,11.99
MaxDraw,27636,11.99
OddHome,3031,1.31
OddAway,3031,1.31
OddDraw,3031,1.31
Form3Home,1501,0.65
Form5Home,1501,0.65
Form3Away,1501,0.65
Form5Away,1501,0.65
FTAway,3,0.0
FTHome,3,0.0
FTResult,3,0.0
HomeTeam,0,0.0
MatchDate,0,0.0
Division,0,0.0
AwayTeam,0,0.0
