column,dtype,missing_count,missing_percent,unique_count
Division,str,0,0.0,38
MatchDate,str,0,0.0,7402
MatchTime,str,131485,57.03,195
HomeTeam,str,0,0.0,1214
AwayTeam,str,0,0.0,1206
HomeElo,float64,88961,38.59,50547
AwayElo,float64,89030,38.62,50563
Form3Home,float64,1501,0.65,9
Form5Home,float64,1501,0.65,15
Form3Away,float64,1501,0.65,9
Form5Away,float64,1501,0.65,15
FTHome,float64,3,0.0,11
FTAway,float64,3,0.0,11
FTResult,str,3,0.0,3
HTHome,float64,54580,23.67,8
HTAway,float64,54580,23.67,8
HTResult,str,54580,23.67,3
HomeShots,float64,115822,50.24,46
AwayShots,float64,115819,50.23,40
HomeTarget,float64,116628,50.59,27
AwayTarget,float64,116625,50.58,23
HomeFouls,float64,116584,50.57,42
AwayFouls,float64,116584,50.57,41
HomeCorners,float64,116194,50.4,26
AwayCorners,float64,116194,50.4,23
HomeYellow,float64,111259,48.26,12
AwayYellow,float64,111258,48.26,11
HomeRed,float64,111258,48.26,4
AwayRed,float64,111260,48.26,6
OddHome,float64,3031,1.31,1267
OddDraw,float64,3031,1.31,955
OddAway,float64,3031,1.31,2012
MaxHome,float64,27636,11.99,1199
MaxDraw,float64,27636,11.99,1041
MaxAway,float64,27636,11.99,1939
Over25,float64,82160,35.64,231
Under25,float64,82161,35.64,391
MaxOver25,float64,82160,35.64,240
MaxUnder25,float64,82161,35.64,337
HandiSize,float64,73825,32.02,35
HandiHome,float64,74083,32.13,434
HandiAway,float64,74107,32.14,646
C_LTH,float64,117956,51.16,9109
C_LTA,float64,117956,51.16,9122
C_VHD,float64,117956,51.16,8939
C_VAD,float64,117956,51.16,8693
C_HTB,float64,117956,51.16,8826
C_PHB,float64,117956,51.16,8658
