model,split,accuracy,balanced_accuracy,macro_f1,home_recall,draw_recall,away_recall,feature_set,experiment_type,draw_boost,draw_threshold
logistic_regression,validation,0.509703196347032,0.4867962773708068,0.4859505860008911,0.6119205298013245,0.3110151187904967,0.5374531835205992,v1_only,previous_reference,1.0,none
logistic_regression,test,0.5065751858204688,0.4836074288924093,0.4836151251298118,0.5959183673469388,0.3219178082191781,0.5329861111111112,v1_only,previous_reference,1.0,none
catboost_classifier,validation,0.5507990867579908,0.4871984876227389,0.4241452882240588,0.8397350993377484,0.0151187904967602,0.6067415730337079,v1_only,previous_reference,1.0,none
catboost_classifier,test,0.5351629502572899,0.4670566647511364,0.4145120584758401,0.8326530612244898,0.0251141552511415,0.5434027777777778,v1_only,previous_reference,1.0,none
catboost_classifier,validation,0.5513698630136986,0.4905983936196927,0.4347479783284299,0.8251655629139073,0.0323974082073434,0.6142322097378277,v1_corners_yellow,previous_reference,1.0,none
catboost_classifier,test,0.5277301315037164,0.4611500688555483,0.4119649035641391,0.819047619047619,0.0296803652968036,0.5347222222222222,v1_corners_yellow,previous_reference,1.0,none
logistic_c_0_05__draw_1_6__untuned_threshold,train,0.522432701894317,0.506942032759715,0.5067636024623151,0.618719714358582,0.47424042272126815,0.42786596119929454,,selected_logistic_tuned,1.0,none
logistic_c_0_05__draw_1_6__untuned_threshold,validation,0.514269406392694,0.48465555362163776,0.48835769883979374,0.6768211920529801,0.35205183585313177,0.4250936329588015,,selected_logistic_tuned,1.0,none
logistic_c_0_05__draw_1_6__untuned_threshold,test,0.5111492281303602,0.48614942171693637,0.4866892801325522,0.672108843537415,0.3835616438356164,0.4027777777777778,,selected_logistic_tuned,1.0,none
logistic_c_0_05__draw_1_6__threshold_tuned,train,0.5164506480558325,0.5065515523004699,0.5043223212752386,0.5942361642438153,0.5169528841919859,0.4084656084656085,,selected_threshold_tuned,1.05,none
logistic_c_0_05__draw_1_6__threshold_tuned,validation,0.5114155251141552,0.4864681292049207,0.4900272440151527,0.6556291390728477,0.39740820734341253,0.40636704119850187,,selected_threshold_tuned,1.05,none
logistic_c_0_05__draw_1_6__threshold_tuned,test,0.5031446540880503,0.4826032315513724,0.4824392717366455,0.6503401360544218,0.4155251141552511,0.3819444444444444,,selected_threshold_tuned,1.05,none
